external_id,existing_gd_id,source_type,source_name,source_url,discovered_at,last_checked,review_status,confidence_score,club_name,summary_raw,summary_final,audience,discipline_primary,disciplines_csv,website,facebook_url,instagram_url,twitter_url,twitter_handle,youtube_url,strava_url,email,street,street2,city,region,country,postal_code,plus_code,latitude,longitude,logo_source_url,logo_rights_status,cover_source_url,gallery_source_urls,image_rights_status,image_notes,focus,notes_internal
wildbettys-com-toronto-ontario,706,openai-web-search,"openai web search discovery for Toronto, Ontario",https://www.wildbettys.com/ClubInfo/AboutWildBettys.aspx,2026-04-14 18:49:47,2026-04-14 18:49:47,pending,0.98,Wild Bettys,"The Wild Bettys is a women's mountain biking club that meets weekly. There are currently three chapters: The Toronto group rides in the Don Valley and the Guelph-Cambridge-Campbellville group alternates between riding Kelso, Puslinch Lake (aka Twin Ponds) and the Hilton Agreement Forest and the new Dufferin Chapter groups rides in Mono Cliffs Provincial park and the Dufferin Forest.","Wild Bettys is a women-focused cycling club in Toronto built around mountain bike rides. Expect weekly rides and a chapter-based community that gives riders more than one place to plug in. It keeps women riders at the center of the experience, which gives the whole thing a welcoming feel.",Women Only,MTB,MTB,https://www.wildbettys.com/,https://www.facebook.com/wildbettys,https://www.instagram.com/wildbettys,https://twitter.com/wildbettys,wildbettys,https://www.youtube.com/user/WildBettys,,,,,Toronto,Ontario,Canada,,,43.70643,-79.39864,,,,,,,,"score=0.98 | location=Toronto, Ontario, Canada | classification=club | ai_confidence=0.98 | official_source=https://www.wildbettys.com/ClubInfo/AboutWildBettys.aspx | supporting_sources=https://www.wildbettys.com/ClubInfo/AboutWildBettys.aspx; https://www.wildbettys.com/; https://ontariocycling.org/oc-womens-month-profile-the-wild-bettys-2/; https://ontariocycling.org/club-spotlight-wild-bettys/; https://pussycattoronto.ca/ | matched_existing_gd_id=706 | gd_match_method=instagram_url,name_location,source_domain,twitter_url,website_domain"
saddlesisters-ca-toronto-ontario,,openai-web-search,"openai web search discovery for Toronto, Ontario",https://saddlesisters.ca/about,2026-04-14 18:49:47,2026-04-14 18:49:47,pending,0.98,Saddle Sisters of High Park,Saddle Sisters of High Park website,"Saddle Sisters of High Park is a women-first ride group in Toronto built around road and gravel rides. Expect a community-minded atmosphere and a clear sense that riding together is the point. It keeps women riders at the center of the experience, which gives the whole thing a welcoming feel.",Women Only,Road,"Road,Gravel",https://saddlesisters.ca/,,,,,,,,,,Toronto,Ontario,Canada,,,43.70643,-79.39864,,,,,,,,"score=0.98 | location=Toronto, Ontario, Canada | classification=ride-group | ai_confidence=0.98 | official_source=https://saddlesisters.ca/about | supporting_sources=https://saddlesisters.ca/about; https://saddlesisters.ca/; https://saddlesisters.ca/community; https://ontariocycling.org/oc-womens-month-profile-sandra-fletcher-the-saddle-sisters-2/; https://pussycattoronto.ca/"
autobuscc-ca-toronto-ontario,,openai-web-search,"openai web search discovery for Toronto, Ontario",https://www.autobuscc.ca/,2026-04-14 18:49:47,2026-04-14 18:49:47,pending,0.98,Autobus Cycling Club,JRA Autobus is a not-for-profit cycling club offering group rides for men and women in Oakville and Toronto.,"Autobus Cycling Club is a mixed-gender cycling club with a clear women-relevant side in Toronto built around road rides. It’s run as a non-profit, so the emphasis is on community, consistency, and getting people out riding together.",Mixed Gender,Road,Road,https://www.autobuscc.ca,https://www.facebook.com/JRAAutobus,http://instagram.com/jraautobus,https://twitter.com/autobuscc,autobuscc,,https://www.strava.com/clubs/autobuscc,user@domain.com,,,Toronto,Ontario,Canada,,,43.70643,-79.39864,,,,,,autodiscovered from search/page metadata,,"score=0.98 | location=Toronto, Ontario, Canada | classification=club | ai_confidence=0.98 | official_source=https://www.autobuscc.ca/ | supporting_sources=https://www.autobuscc.ca/; https://www.autobuscc.ca/info; https://pussycattoronto.ca/; https://www.womenscyclingnetwork.ca/; https://www.cycleto.ca/womens-cycling-network-bike-match-program | sanitized image selection"
womenscyclingnetwork-ca-toronto-ontario,,openai-web-search,"openai web search discovery for Toronto, Ontario",https://www.womenscyclingnetwork.ca/,2026-04-14 18:49:47,2026-04-14 18:49:47,pending,0.98,Women's Cycling Network,WCN promotes cycling as wheels of empowerment for women of all backgrounds.,"Women's Cycling Network is a women-first cycling program in Toronto built around regular cycling programs. Its mission leans hard into empowerment and access, using bikes as a way to build confidence and community. It keeps women riders at the center of the experience, which gives the whole thing a welcoming feel.",Women Only,,,https://www.womenscyclingnetwork.ca/,,https://www.instagram.com/womenscyclingnetwork.gta,https://twitter.com/WCN_GTA_tweets,WCN_GTA_tweets,,,womenscyclingnetwork.gta@gmail.com,,,Toronto,Ontario,Canada,,,43.70643,-79.39864,,,,,,autodiscovered from search/page metadata,,"score=0.98 | location=Toronto, Ontario, Canada | discipline needs review | classification=program | ai_confidence=0.98 | official_source=https://www.womenscyclingnetwork.ca/ | supporting_sources=https://www.womenscyclingnetwork.ca/; https://www.cycleto.ca/womens-cycling-network-bike-match-program; https://pussycattoronto.ca/; https://www.lapdogs.ca/ldcc-calendar/2025/5/26/womens-only-road-ride-amp-club-try-out-c92l5-4yg2m-g3tk6-t5tft; https://www.torontowaterfrontmarathon.com/womens-training-program/ | sanitized image selection"
ottawawomenscyclingclub-ca-ottawa-ontario,,openai-web-search,"openai web search discovery for Ottawa, Ontario",https://ottawawomenscyclingclub.ca/,2026-04-14 19:23:17,2026-04-14 19:23:17,pending,0.98,Ottawa Women's Cycling Club,"FREQUENTLY ASKED QUESTIONS General New & Potential Members Current Members KIT Photo by On The Rivet General How can I register? Details on how to register can be found on the Join page.Before joining, take a moment to review our Program, FAQ's, and Membership Requirements to ensure the OWCC is the right fit for you!…","Ottawa Women's Cycling Club is a women-focused cycling club in Ottawa built around road and gravel rides. Expect a community-minded atmosphere and a clear sense that riding together is the point. It keeps women riders at the center of the experience, which gives the whole thing a welcoming feel.",Women Only,Road,"Road,Gravel",https://ottawawomenscyclingclub.ca/faq/,https://www.facebook.com/groups/293820448247185,https://www.instagram.com/ottawawomenscyclingclub,,,,https://www.strava.com/clubs/OWCC,,,,Ottawa,Ontario,Canada,,,45.41117,-75.69812,https://ottawawomenscyclingclub.ca/wp-content/uploads/2025/02/cropped-owcclogo-2-e1738800191988.png,official-site,,,,autodiscovered from search/page metadata,,"score=0.98 | location=Ottawa, Ontario, Canada | classification=club | ai_confidence=0.98 | official_source=https://ottawawomenscyclingclub.ca/ | supporting_sources=https://ottawawomenscyclingclub.ca/; https://ottawawomenscyclingclub.ca/program/; https://ottawawomenscyclingclub.ca/faq/; https://ottawabicycleclub.ca/; https://ottawamba.org/mtb-chicks-womens-rides/ | sanitized image selection"
ottawabicycleclub-ca-ottawa-ontario,737,openai-web-search,"openai web search discovery for Ottawa, Ontario",https://ottawabicycleclub.ca/womens-rides/,2026-04-14 19:23:17,2026-04-14 19:23:17,pending,0.98,Ottawa Bicycle Club,"The women’s time trial series was created in 1989 as a way of encouraging the development of female cyclists by providing them with their own time trial series. Today, participants/riders in the WTT series range from recreational participants to serious racers of all ages and abilities. The series is run by volunteers and as such we","Ottawa Bicycle Club is a mixed-gender cycling club with a clear women-relevant side in Ottawa built around road and gravel rides. Its women’s time trial series dates back to 1989, which gives the club a long-running role in developing riders.",Mixed Gender,Road,"Road,Gravel",https://ottawabicycleclub.ca/,http://www.facebook.com/OttawaBicycleClub,https://www.instagram.com/ottawabicycleclub,http://twitter.com/ottbicycleclub,ottbicycleclub,https://www.youtube.com/@ottawabicycleclub,https://www.strava.com/segments/25402352,,,,Ottawa,Ontario,Canada,,,45.41117,-75.69812,https://ottawabicycleclub.ca/wp-content/uploads/2022/11/OBCSquareBlue.jpg,official-site,https://ottawabicycleclub.ca/wp-content/uploads/2022/11/Gravel-1024x683.jpg,https://ottawabicycleclub.ca/wp-content/uploads/2022/11/GroupRidingClinic-1024x682.jpg,official-site,autodiscovered from search/page metadata,,"score=0.98 | location=Ottawa, Ontario, Canada | classification=club | ai_confidence=0.98 | official_source=https://ottawabicycleclub.ca/womens-rides/ | supporting_sources=https://ottawabicycleclub.ca/womens-rides/; https://ottawabicycleclub.ca/; https://ottawabicycleclub.ca/wtt/; https://ottawawomenscyclingclub.ca/program/; https://ottawamba.org/mtb-chicks-womens-rides/ | matched_existing_gd_id=737 | gd_match_method=instagram_url,source_domain,twitter_url,website_domain | sanitized image selection"
ottawamba-org-ottawa-ontario,,openai-web-search,"openai web search discovery for Ottawa, Ontario",https://ottawamba.org/mtb-chicks-womens-rides/,2026-04-14 19:23:17,2026-04-14 19:23:17,pending,0.98,MTB Chicks Women’s Rides (Ottawa Mountain Bike Association),"OMBA’s official site identifies MTB Chicks as a real, recurring women’s mountain biking subgroup with bi-weekly rides and regular rides around the Ottawa area. The official OMBA page states that MTB Chicks is a fun, informal mountain biking group for women of all ages and skill levels, and that it is a subgroup of OMBA. OMBA also lists MTB Chicks on its main site and partners page as an informal women’s mountain biking group with recurring rides in the Ottawa area, confirming it is a genuine recurring ride program rather than a shop, individual, directory, or one-off event.","MTB Chicks Women’s Rides (Ottawa Mountain Bike Association) is a women-first cycling program in Ottawa built around mountain bike rides. Expect a community-minded atmosphere and a clear sense that riding together is the point. It keeps women riders at the center of the experience, which gives the whole thing a welcoming feel.",Women Only,MTB,MTB,https://ottawamba.org/mtb-chicks-womens-rides/,https://www.facebook.com/ottawamba,https://www.instagram.com/ottawamountainbikeassociation,,,,,mtbchicks@ottawamba.org,,,Ottawa,Ontario,Canada,,,45.41117,-75.69812,https://ottawamba.org/wp-content/uploads/2025/06/cropped-OMBA_AVMO_transparent_bg-copy.png,official-site,,,,autodiscovered from search/page metadata,,"score=0.98 | location=Ottawa, Ontario, Canada | classification=program | ai_confidence=0.98 | official_source=https://ottawamba.org/mtb-chicks-womens-rides/ | supporting_sources=https://ottawamba.org/mtb-chicks-womens-rides/; https://ottawamba.org/; https://ottawabicycleclub.ca/; https://ottawawomenscyclingclub.ca/program/; https://ottawawomenscyclingclub.ca/ | sanitized image selection"
quickcranks-ca-ottawa-ontario,,openai-web-search,"openai web search discovery for Ottawa, Ontario",https://quickcranks.ca/fr/pages/quick-cranks-racing,2026-04-14 19:23:17,2026-04-14 19:23:17,pending,0.98,Quick Cranks,"Rejoignez l'équipe de course Quick Cranks. Un programme cycliste communautaire qui soutient les cyclistes sur route, sur gravier, en VTT et en cyclocross à Ottawa et dans les environs.","Quick Cranks is a women-focused cycling club in Ottawa built around mountain bike, road, gravel, and cyclocross rides. Expect a community-minded atmosphere and a clear sense that riding together is the point. It keeps women riders at the center of the experience, which gives the whole thing a welcoming feel.",Women Only,MTB,"MTB,Road,Gravel,Cyclo-cross",https://quickcranks.ca/fr/pages/quick-cranks-racing,https://Facebook.com/quickcranks,https://instagram.com/quickcranks,,,,,,,,Ottawa,Ontario,Canada,,,45.41117,-75.69812,https://quickcranks.ca/cdn/shop/files/QuickCranks_Logo_Horizontal_Green.svg?v=1766931957&width=500,official-site,https://quickcranks.ca/cdn/shop/files/45nrth-home-banner-2-3544551-1920x640-2.jpg?v=1770409838&width=2048,https://quickcranks.ca/cdn/shop/files/quickcranks_gdp_race_team_gravel_biking.jpg?v=1768188350&width=2000,official-site,autodiscovered from search/page metadata,,"score=0.98 | location=Ottawa, Ontario, Canada | classification=team | ai_confidence=0.98 | official_source=https://quickcranks.ca/fr/pages/quick-cranks-racing | supporting_sources=https://quickcranks.ca/fr/pages/quick-cranks-racing; https://quickcranks.ca/; https://ottawabicycleclub.ca/; https://ottawawomenscyclingclub.ca/program/; https://ottawamba.org/mtb-chicks-womens-rides/ | sanitized image selection"
bramptoncyclingclub-com-brampton-ontario,734,openai-web-search,"openai web search discovery for Brampton, Ontario",https://bramptoncyclingclub.com/touring_schedule/,2026-04-14 19:23:17,2026-04-14 19:23:17,pending,0.98,Brampton Cycling Club,Club OverviewWelcome all cycling enthusiasts to the Brampton Cycling Club (BCC). We are a non-profit organization that was founded in 1972. The club started,"Brampton Cycling Club is a mixed-gender cycling club with a clear women-relevant side in Brampton built around road rides. Founded in 1972, it brings a long local history to the ride.",,Road,Road,https://bramptoncyclingclub.com,https://www.facebook.com/pages/Brampton-Cycling-Club/262675222866,https://www.instagram.com/brampton_cycling_club,,,,https://www.strava.com/clubs/brampton-cycling-club,info@carbonink.ca,,,Brampton,Ontario,Canada,,,43.68341,-79.76633,https://bramptoncyclingclub.com/wp-content/uploads/2023/02/BCC-logo-v4-3.png,official-site,https://bramptoncyclingclub.com/wp-content/uploads/2022/09/side_photo_16.jpg,,official-site,autodiscovered from search/page metadata,,"score=0.98 | location=Brampton, Ontario, Canada | audience needs review | classification=club | ai_confidence=0.98 | official_source=https://bramptoncyclingclub.com/touring_schedule/ | supporting_sources=https://bramptoncyclingclub.com/touring_schedule/; https://bramptoncyclingclub.com/; https://bramptoncyclingclub.com/club_details/; https://www.strava.com/clubs/brampton-cycling-club; https://ontariocycling.org/ontario-womens-cycling/ | matched_existing_gd_id=734 | gd_match_method=facebook_url,instagram_url,name_location,source_domain,website_domain | sanitized image selection"
wildapricot-org-brampton-ontario,,openai-web-search,"openai web search discovery for Brampton, Ontario",https://caledoncyclingclub.wildapricot.org/news/13497141,2026-04-14 19:23:17,2026-04-14 19:23:17,pending,0.98,Caledon Cycling Club,"Caledon Cycling Club is a real, recurring cycling club based in the Caledon/Brampton area with organized weekly mountain bike, road, gravel, and rail-trail rides, plus club membership and events. The official site describes Caledon Cycling Club as a club for mountain, road and gravel cyclists, with organized weekly rides, membership, ride leaders, and club events. That supports that it is a bona fide cycling club rather than a shop, individual, or one-off event page. It is mixed gender and serves riders in the Brampton/Caledon area.","Caledon Cycling Club is a mixed-gender cycling club with a clear women-relevant side in Caledon built around mountain bike, road, and gravel rides. Expect a community-minded atmosphere and a clear sense that riding together is the point. That regular cadence gives it the feel of a real club, not just a page on the internet.",Mixed Gender,MTB,"MTB,Road,Gravel",https://caledoncyclingclub.wildapricot.org/About-Us,https://www.facebook.com/groups/328052365873916,,,,,https://www.strava.com/clubs/134957,caledoncyclingclub@gmail.com,,,Caledon,Ontario,Canada,,,43.68341,-79.76633,https://caledoncyclingclub.wildapricot.org/resources/Pictures/CCC%20logo.svg,official-site,https://caledoncyclingclub.wildapricot.org/resources/Pictures/CCC-Kids-MTB-banner.jpg,https://caledoncyclingclub.wildapricot.org/resources/Pictures/Event%20Images/Spring%20BBQ%202022.jpg,official-site,autodiscovered from search/page metadata,,"score=0.98 | location=Brampton, Ontario, Canada | classification=club | ai_confidence=0.98 | official_source=https://caledoncyclingclub.wildapricot.org/news/13497141 | supporting_sources=https://caledoncyclingclub.wildapricot.org/news/13497141; https://caledoncyclingclub.wildapricot.org/; https://caledoncyclingclub.wildapricot.org/About-Us; https://caledoncyclingclub.wildapricot.org/page-18109; https://bramptoncyclingclub.com/ | sanitized image selection"
