external_id,existing_gd_id,source_type,source_name,source_url,discovered_at,last_checked,review_status,confidence_score,club_name,summary_raw,summary_final,audience,discipline_primary,disciplines_csv,website,facebook_url,instagram_url,twitter_url,twitter_handle,youtube_url,strava_url,email,street,street2,city,region,country,postal_code,plus_code,latitude,longitude,logo_source_url,logo_rights_status,cover_source_url,gallery_source_urls,image_rights_status,image_notes,focus,notes_internal
bramptoncyclingclub-com-brampton-ontario,,openai-web-search,"openai web search discovery for Brampton, Ontario",https://bramptoncyclingclub.com/touring_schedule/,2026-04-14 19:23:17,2026-04-14 19:23:17,pending,0.98,Brampton Cycling Club,Club OverviewWelcome all cycling enthusiasts to the Brampton Cycling Club (BCC). We are a non-profit organization that was founded in 1972. The club started,"Brampton Cycling Club is a mixed-gender cycling club with a clear women-relevant side in Brampton built around road rides. Founded in 1972, it brings a long local history to the ride.",,Road,Road,https://bramptoncyclingclub.com,https://www.facebook.com/pages/Brampton-Cycling-Club/262675222866,https://www.instagram.com/brampton_cycling_club,,,,https://www.strava.com/clubs/brampton-cycling-club,info@carbonink.ca,,,Brampton,Ontario,Canada,,,43.68341,-79.76633,https://bramptoncyclingclub.com/wp-content/uploads/2023/02/BCC-logo-v4-3.png,official-site,https://bramptoncyclingclub.com/wp-content/uploads/2022/09/side_photo_16.jpg,,official-site,autodiscovered from search/page metadata,,"score=0.98 | location=Brampton, Ontario, Canada | audience needs review | classification=club | ai_confidence=0.98 | official_source=https://bramptoncyclingclub.com/touring_schedule/ | supporting_sources=https://bramptoncyclingclub.com/touring_schedule/; https://bramptoncyclingclub.com/; https://bramptoncyclingclub.com/club_details/; https://www.strava.com/clubs/brampton-cycling-club; https://ontariocycling.org/ontario-womens-cycling/ | sanitized image selection"
wildapricot-org-brampton-ontario,,openai-web-search,"openai web search discovery for Brampton, Ontario",https://caledoncyclingclub.wildapricot.org/news/13497141,2026-04-14 19:23:17,2026-04-14 19:23:17,pending,0.98,Caledon Cycling Club,"Caledon Cycling Club is a real, recurring cycling club based in the Caledon/Brampton area with organized weekly mountain bike, road, gravel, and rail-trail rides, plus club membership and events. The official site describes Caledon Cycling Club as a club for mountain, road and gravel cyclists, with organized weekly rides, membership, ride leaders, and club events. That supports that it is a bona fide cycling club rather than a shop, individual, or one-off event page. It is mixed gender and serves riders in the Brampton/Caledon area.","Caledon Cycling Club is a mixed-gender cycling club with a clear women-relevant side in Caledon built around mountain bike, road, and gravel rides. Expect a community-minded atmosphere and a clear sense that riding together is the point. That regular cadence gives it the feel of a real club, not just a page on the internet.",Mixed Gender,MTB,"MTB,Road,Gravel",https://caledoncyclingclub.wildapricot.org/About-Us,https://www.facebook.com/groups/328052365873916,,,,,https://www.strava.com/clubs/134957,caledoncyclingclub@gmail.com,,,Caledon,Ontario,Canada,,,43.68341,-79.76633,https://caledoncyclingclub.wildapricot.org/resources/Pictures/CCC%20logo.svg,official-site,https://caledoncyclingclub.wildapricot.org/resources/Pictures/CCC-Kids-MTB-banner.jpg,https://caledoncyclingclub.wildapricot.org/resources/Pictures/Event%20Images/Spring%20BBQ%202022.jpg,official-site,autodiscovered from search/page metadata,,"score=0.98 | location=Brampton, Ontario, Canada | classification=club | ai_confidence=0.98 | official_source=https://caledoncyclingclub.wildapricot.org/news/13497141 | supporting_sources=https://caledoncyclingclub.wildapricot.org/news/13497141; https://caledoncyclingclub.wildapricot.org/; https://caledoncyclingclub.wildapricot.org/About-Us; https://caledoncyclingclub.wildapricot.org/page-18109; https://bramptoncyclingclub.com/ | sanitized image selection"
commonempire-com-ottawa-ontario,,openai-web-search,"openai web search discovery for Ottawa, Ontario",https://commonempire.com/group-rides/ottawa/womens-weekly-ride/,2026-04-15 11:59:32,2026-04-15 11:59:32,pending,0.96,Common Empire,"Join Common Empire for outdoor cycling events, community rides, and bike adventures in Gatineau Park and beyond. Perfect for cycling enthusiasts seeking fun & connection.","Common Empire is an Ottawa cycling community that runs recurring group rides and events, including a weekly women’s-only ride designed to connect women cyclists in the city. The broader program mixes road rides, gravel adventures, coffee spins, and even bikepacking, with a friendly community feel and a strong emphasis on getting outside together. It’s less a single race team and more a welcoming ride network built around shared adventures on two wheels.",Women Only,Road,"Road,Gravel,Touring",https://www.commonempire.com,https://www.facebook.com/commonempire,https://www.instagram.com/commonempire,,,,https://www.strava.com/clubs/516841,info@commonempire.com,,,Ottawa,Ontario,Canada,,,45.41117,-75.69812,http://static1.squarespace.com/static/68ee4b059998b46ad8af1555/t/68f58bd76aae337867c92170/1760922583903/CE-Logo.png?format=1500w,official-site,,,,autodiscovered from search/page metadata,,"score=0.96 | location=Ottawa, Ontario, Canada | classification=ride-group | ai_confidence=0.96 | official_source=https://commonempire.com/group-rides/ottawa/womens-weekly-ride/ | supporting_sources=https://commonempire.com/group-rides/ottawa/womens-weekly-ride/; https://commonempire.com/; https://commonempire.com/ottawa/; https://commonempire.com/group-rides/ottawa/weekly-park-loop/; https://commonempire.com/group-rides/"
autobuscc-ca-toronto-ontario,,openai-web-search,"openai web search discovery for Toronto, Ontario",https://www.autobuscc.ca/,2026-04-16 16:51:11,2026-04-16 16:51:11,pending,0.98,Autobus Cycling Club,"We welcome all road cyclists, and by reading on we are hoping you will be able to find a right fit within one of our group rides.","Autobus Cycling Club is a not-for-profit road cycling club serving the Oakville and Toronto area, built around friendly, social riding rather than racing intensity. It welcomes all road cyclists, and its site explicitly notes a DAME program that offers women’s programming, making it relevant for women riders while still operating as a broader co-ed club. The club emphasizes camaraderie, inclusivity, and the simple joy of “just riding along.”",Women Only,Road,Road,https://www.autobuscc.ca,https://www.facebook.com/JRAAutobus,http://instagram.com/jraautobus,https://twitter.com/autobuscc,autobuscc,,https://www.strava.com/clubs/autobuscc,user@domain.com,,,Toronto,Ontario,Canada,,,43.70643,-79.39864,https://images.squarespace-cdn.com/content/v1/585aa5ce5016e1ac6da7b73c/1488047380487-KYVNIUW0CW25BEP27SF3/download%2B%2816%29.png,official-site,,,,autodiscovered from search/page metadata,,"score=0.98 | location=Toronto, Ontario, Canada | classification=club | ai_confidence=0.98 | official_source=https://www.autobuscc.ca/ | supporting_sources=https://www.autobuscc.ca/; https://www.autobuscc.ca/info; https://www.lapdogs.ca/ldcc-calendar/2025/5/26/womens-only-road-ride-amp-club-try-out-c92l5; https://www.lapdogs.ca/; https://thebadgirlsbikeclub.com/about/"
thebadgirlsbikeclub-com-toronto-ontario,,openai-web-search,"openai web search discovery for Toronto, Ontario",https://thebadgirlsbikeclub.com/about/,2026-04-16 17:37:24,2026-04-16 17:37:24,pending,0.96,The Bad Girls* Bike Club,This is just a short excerpt for the about page.,"The Bad Girls* Bike Club is a Toronto-based cycling group built for women, trans, and gender nonconforming riders, with an explicitly inclusive, women-relevant mission. It runs weekly beginner-level rides in spring and summer that are described as casual and slow-paced, plus bike-maintenance workshops through the year. The vibe is about making cycling feel welcoming, empowering, and low-pressure rather than athlete-only.",Women Only,MTB XC,MTB XC,https://thebadgirlsbikeclub.com/,https://www.facebook.com/thebadgirlsbikeclub,http://instagram.com/thebadgirlsbikeclub,,,,,,,,Toronto,Ontario,Canada,,,43.70643,-79.39864,https://https:\/\/static.cdninstagram.com\/rsrc.php\/yb\/r\/SxCWlJznXoy.svg,official-social,https://i0.wp.com/thebadgirlsbikeclub.com/wp-content/uploads/2016/09/img_2719.jpg?fit=1200%2C800&ssl=1,,official-site,autodiscovered from search/page metadata,,"score=0.96 | location=Toronto, Ontario, Canada | classification=ride-group | ai_confidence=0.96 | official_source=https://thebadgirlsbikeclub.com/about/ | supporting_sources=https://thebadgirlsbikeclub.com/about/; https://thebadgirlsbikeclub.com/; https://www.lapdogs.ca/; https://www.lapdogs.ca/ldcc-calendar/2025/5/26/womens-only-road-ride-amp-club-try-out-c92l5; https://xogravel.com/"
lapdogs-ca-toronto-ontario,,openai-web-search,"openai web search discovery for Toronto, Ontario",https://www.lapdogs.ca/ldcc-calendar/2025/5/26/womens-only-road-ride-amp-club-try-out-c92l5,2026-04-16 17:37:24,2026-04-16 17:37:24,pending,0.98,LapDogs Cycling Club,"Women's Only - Mixed surface Gravel Rides Join Alison for a Fun Gravel Ride. No drop, 64km mixed surface adventure that will ride through all kinds of surfaces - dirt, gravel, multi-use paths, and a little road. We will stop halfway in North York at a Chinese bakery. Linked route may vary dependin","LapDogs Cycling Club is a volunteer-run Toronto riding community that’s been around since 2003, built around social group rides, skills development, and a welcoming pack mentality. While the club is mixed gender overall, its official calendar includes women-only rides and try-out events, including road, gravel, and beginner MTB sessions. The ride menu spans road, gravel, mountain biking, cyclocross, and track, with a strong no-drop, community-first feel.",Mixed Gender,MTB,"MTB,Road,Gravel,Track,Cyclo-cross",https://www.lapdogs.ca,http://www.facebook.com/LapDogsCyclingClub,https://www.instagram.com/lapdogscyclingclub,https://twitter.com/LapDogsCycling,LapDogsCycling,,,info@lapdogs.ca,,,Toronto,Ontario,Canada,,,43.70643,-79.39864,https://static1.squarespace.com/static/55218b71e4b01b8a469d9519/t/698a5180edc0271e4e09ba23/1776266181706/,official-site,http://static1.squarespace.com/static/55218b71e4b01b8a469d9519/5c81d189fa0d607755ec2869/6828ba7e8834bf1888426061/1748373034372/LDCC_Calendar_Ride_WomenTry_Gravel.jpg?format=1500w,https://images.squarespace-cdn.com/content/v1/55218b71e4b01b8a469d9519/1747507174179-Z17R5TO17AXED4OLYS9K/LDCC_Calendar_Ride_WomenTry_Gravel.jpg,official-site,autodiscovered from search/page metadata,,"score=0.98 | location=Toronto, Ontario, Canada | classification=club | ai_confidence=0.98 | official_source=https://www.lapdogs.ca/ldcc-calendar/2025/5/26/womens-only-road-ride-amp-club-try-out-c92l5 | supporting_sources=https://www.lapdogs.ca/ldcc-calendar/2025/5/26/womens-only-road-ride-amp-club-try-out-c92l5; https://www.lapdogs.ca/; https://xogravel.com/; https://hvwcycling.com/hvwc-community/; https://www.tbccycling.ca/"
hustleprocycling-ca-toronto-ontario,,openai-web-search,"openai web search discovery for Toronto, Ontario",https://hustleprocycling.ca/community-events/,2026-04-16 17:37:24,2026-04-16 17:37:24,pending,0.95,Community & Events,UCI Continental Cycling Team,"Hustle Pro Cycling is a real Toronto-based racing team with a community-facing presence, not just a storefront or one-off event. Its site highlights women’s outdoor rides each spring and summer, showing a women-relevant program alongside broader team racing. The club also leans into road racing and gravel-oriented community events, with a grassroots, give-back-to-the-community feel.",Women Only,Road,"Road,Gravel",https://hustleprocycling.ca/,https://www.facebook.com/torontohustleCS,https://www.instagram.com/toronto_hustle,https://twitter.com/toronto_hustle,toronto_hustle,https://www.youtube.com/@torontohustlecyclingsyndic9302,https://www.strava.com/clubs/torontohustle,info@hustleprocycling.ca,,,Toronto,Ontario,Canada,,,43.70643,-79.39864,https://hustleprocycling.ca/wp-content/uploads/2023/01/logo-jackroo.svg,official-site,https://hustleprocycling.ca/wp-content/uploads/2023/01/ride-for-mind-event.jpg,https://hustleprocycling.ca/wp-content/uploads/2024/08/community-and-events-banner.jpg::https://hustleprocycling.ca/community-events/\/\/hustleprocycling.ca\/wp-content\/uploads\/2024\/08\/community-and-events-banner.jpg::https://hustleprocycling.ca/wp-content/uploads/2024/08/community-and-events-banner-1000x313.jpg::https://hustleprocycling.ca/community-events/\/\/hustleprocycling.ca\/wp-content\/uploads\/2024\/08\/community-and-events-banner-1024x320.jpg::https://hustleprocycling.ca/wp-content/uploads/2023/01/womens-outdoors-event.jpg,official-site,autodiscovered from search/page metadata,,"score=0.95 | location=Toronto, Ontario, Canada | classification=program | ai_confidence=0.95 | official_source=https://hustleprocycling.ca/community-events/ | supporting_sources=https://hustleprocycling.ca/community-events/; https://hustleprocycling.ca/; https://www.lapdogs.ca/; https://www.lapdogs.ca/ldcc-calendar/2025/5/26/womens-only-road-ride-amp-club-try-out-c92l5; https://xogravel.com/"
spokesisters-ca-ottawa-ontario,,openai-web-search,"openai web search discovery for Ottawa, Ontario",https://www.spokesisters.ca/,2026-04-16 17:37:24,2026-04-16 17:37:24,pending,0.99,Spoke Sisters,"NCR Spoke Sisters is a local Ottawa cycling club that is open to registered members. Members range from 18-80+, and we offer a variety of programs and clinics based on your skill level.","NCR Spoke Sisters is a volunteer-run road cycling club in Ottawa for female-identifying cyclists. It offers a welcoming, no-drop environment with programs, clinics, and rides for everyone from beginners to advanced riders. The club’s focus is building confidence, skills, and community while supporting women in cycling.",Women Only,Road,Road,https://www.spokesisters.ca,https://www.facebook.com/ncrspokessisters,https://www.instagram.com/spokesisters,,,,,info@spokesisters.ca,,,Ottawa,Ontario,US,,,45.41117,-75.69812,"https://static.wixstatic.com/media/e78584_b0dbcd3439f04273a72afbee70eed7eb~mv2.png/v1/fill/w_100,h_78,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/Spoke_Sisters_Logo.png",official-site,"https://static.wixstatic.com/media/e78584_905b429d83b04b67a96b5d7bc2c9ccb5%7Emv2.png/v1/fit/w_2500,h_1330,al_c/e78584_905b429d83b04b67a96b5d7bc2c9ccb5%7Emv2.png",,official-site,autodiscovered from search/page metadata,,"score=0.99 | location=Ottawa, Ontario, Canada | classification=club | ai_confidence=0.99 | official_source=https://www.spokesisters.ca/ | supporting_sources=https://www.spokesisters.ca/; https://ottawabicycleclub.ca/; https://ottawawomenscyclingclub.ca/program/; https://ottawawomenscyclingclub.ca/; https://ottawawomenscyclingclub.ca/faq/"
liv-cycling-com-hamilton-ontario,,openai-web-search,"openai web search discovery for Hamilton, Ontario",https://www.liv-cycling.com/ca/the-mtb-exchange,2026-04-16 17:37:24,2026-04-16 17:37:24,pending,0.96,Liv Cycling,"Liv is the cycling brand dedicated to women. This site connects you to your local Liv retailer and is your resource for information about Liv bikes, accessories, news, athletes, and events.","The MTB Exchange x Liv is a women-centered mountain biking ride-sharing initiative that brings together local women riders across Ontario. Hosted rides pair guest riders with women’s ride clubs, then wrap with a social après hangout, making it as much about community and friendships as it is about trail time. The program is geared toward riders who want confidence, progression, and a lively crew to shred with on blue and black trails.",Women Only,MTB,"MTB,MTB XC",https://www.liv-cycling.com,https://www.facebook.com/LivCyclingCanada,https://www.instagram.com/LivCyclingCanada,,,https://www.youtube.com/user/LivCyclingWorld,,themtbexchange@gmail.com,,,Hamilton,Ontario,Canada,,,43.25011,-79.84963,https://static.giant-bicycles.com/Images/LivCycling/Liv-Logo.png,official-site,https://static.giant-bicycles.com/Images/LivCycling/liv_default_share_image_2021.png,,official-site,autodiscovered from search/page metadata,,"score=0.96 | location=Hamilton, Ontario, Canada | classification=program | ai_confidence=0.96 | official_source=https://www.liv-cycling.com/ca/the-mtb-exchange | supporting_sources=https://www.liv-cycling.com/ca/the-mtb-exchange; https://www.newhopecommunitybikes.com/group-rides; https://hamiltoncycling.com/join/; https://wccofhamilton.ca/; https://www.waterloocyclingclub.ca/ride"
saddlesisters-ca-toronto-ontario,,openai-web-search,"openai web search discovery for Toronto, Ontario",https://saddlesisters.ca/about,2026-04-16 19:02:00,2026-04-16 19:02:00,pending,0.96,Saddle Sisters of High Park,Saddle Sisters of High Park website,"Saddle Sisters of High Park is a women-centered cycling community in Toronto that grew out of a small pandemic-era riding group into a lively network of 300+ riders. The club organizes morning rides, beginner-friendly skills sessions, and social outings, with a welcoming vibe for women, trans, femme, and non-binary cyclists. Their schedule spans road rides, gravel/trail sessions, hill repeats, and even occasional bikepacking adventures.",Women Only,Road,"Road,Gravel,Touring",https://saddlesisters.ca/,,,,,,,,,,Toronto,Ontario,Canada,,,43.70643,-79.39864,https://saddlesisters.ca/sshp/SSHPlogo-min.png,official-site,https://saddlesisters.ca/sshp/homepage.jpg,https://saddlesisters.ca/files/sshp/homepage.jpg,official-site,autodiscovered from search/page metadata,,"score=0.96 | location=Toronto, Ontario, Canada | classification=ride-group | ai_confidence=0.96 | official_source=https://saddlesisters.ca/about | supporting_sources=https://saddlesisters.ca/about; https://saddlesisters.ca/; https://saddlesisters.ca/community; https://saddlesisters.ca/files/SSHPCodeOfConduct.pdf; https://www.lapdogs.ca/"
wildbettys-com-toronto-ontario,,openai-web-search,"openai web search discovery for Toronto, Ontario",https://www.wildbettys.com/ClubInfo/AboutWildBettys.aspx,2026-04-16 19:02:00,2026-04-16 19:02:00,pending,0.98,Wild Bettys,Wild Bettys,"Wild Bettys is a women’s mountain biking club built around riding, racing, training, and fun. Its site says the club welcomes women of all ages and abilities, offers weekly Tuesday evening rides in the Don Valley trail system, and runs beginner rides, weekend destination rides, and skills clinics. ([wildbettys.com](https://www.wildbettys.com/ClubInfo/AboutWildBettys.aspx))",Women Only,MTB,MTB,https://www.wildbettys.com/,https://www.facebook.com/WildBettys,https://www.instagram.com/wildbettys,https://twitter.com/wildbettys,wildbettys,https://www.youtube.com/user/WildBettys,,,,,Toronto,Ontario,Canada,,,43.70643,-79.39864,"https://www.wildbettys.com/Portals/_default/skins/polo/),url(./fonts/fontawesome-webfont.svg?v=4.7.0#fontawesomeregular) format(",official-site,https://www.wildbettys.com/Portals/1/dnn_large_banner.png,,official-site,autodiscovered from search/page metadata,,"score=0.98 | location=Toronto, Ontario, Canada | classification=club | ai_confidence=0.98 | official_source=https://www.wildbettys.com/ClubInfo/AboutWildBettys.aspx | supporting_sources=https://www.wildbettys.com/ClubInfo/AboutWildBettys.aspx; https://www.wildbettys.com/; https://www.lapdogs.ca/; https://www.lapdogs.ca/ldcc-calendar/2025/5/26/womens-only-road-ride-amp-club-try-out-c92l5; https://www.womenscyclingnetwork.ca/"
