location_id,location_name,city,region,country,postal_code,latitude,longitude,query_hint
toronto-ontario-ca-6167865,"Toronto, Ontario, Canada",Toronto,Ontario,Canada,,43.70643,-79.39864,road gravel mtb
ottawa-ontario-ca-6094817,"Ottawa, Ontario, Canada",Ottawa,Ontario,Canada,,45.41117,-75.69812,road gravel mtb
mississauga-ontario-ca-6075357,"Mississauga, Ontario, Canada",Mississauga,Ontario,Canada,,43.5789,-79.6583,road gravel mtb
brampton-ontario-ca-5907364,"Brampton, Ontario, Canada",Brampton,Ontario,Canada,,43.68341,-79.76633,road gravel mtb
hamilton-ontario-ca-5969782,"Hamilton, Ontario, Canada",Hamilton,Ontario,Canada,,43.25011,-79.84963,road gravel mtb
london-ontario-ca-6058560,"London, Ontario, Canada",London,Ontario,Canada,,42.98339,-81.23304,road gravel mtb
etobicoke-ontario-ca-5950268,"Etobicoke, Ontario, Canada",Etobicoke,Ontario,Canada,,43.64415,-79.56985,road gravel mtb
markham-ontario-ca-6066513,"Markham, Ontario, Canada",Markham,Ontario,Canada,,43.86682,-79.2663,road gravel mtb
vaughan-ontario-ca-6173577,"Vaughan, Ontario, Canada",Vaughan,Ontario,Canada,,43.8361,-79.49827,road gravel mtb
kitchener-ontario-ca-5992996,"Kitchener, Ontario, Canada",Kitchener,Ontario,Canada,,43.42537,-80.5112,road gravel mtb
windsor-ontario-ca-6182962,"Windsor, Ontario, Canada",Windsor,Ontario,Canada,,42.30008,-83.01654,road gravel mtb
oakville-ontario-ca-6092122,"Oakville, Ontario, Canada",Oakville,Ontario,Canada,,43.45011,-79.68292,road gravel mtb
richmond-hill-ontario-ca-6122091,"Richmond Hill, Ontario, Canada",Richmond Hill,Ontario,Canada,,43.87111,-79.43725,road gravel mtb
burlington-ontario-ca-5911592,"Burlington, Ontario, Canada",Burlington,Ontario,Canada,,43.38621,-79.83713,road gravel mtb
nepean-ontario-ca-6087029,"Nepean, Ontario, Canada",Nepean,Ontario,Canada,,45.33619,-75.7225,road gravel mtb
oshawa-ontario-ca-6094578,"Oshawa, Ontario, Canada",Oshawa,Ontario,Canada,,43.90012,-78.84957,road gravel mtb
greater-sudbury-ontario-ca-5964700,"Greater Sudbury, Ontario, Canada",Greater Sudbury,Ontario,Canada,,46.49,-80.99001,road gravel mtb
gloucester-ontario-ca-5962204,"Gloucester, Ontario, Canada",Gloucester,Ontario,Canada,,45.35,-75.63333,road gravel mtb
barrie-ontario-ca-5894171,"Barrie, Ontario, Canada",Barrie,Ontario,Canada,,44.40011,-79.66634,road gravel mtb
guelph-ontario-ca-5967629,"Guelph, Ontario, Canada",Guelph,Ontario,Canada,,43.54594,-80.25599,road gravel mtb
whitby-ontario-ca-6180170,"Whitby, Ontario, Canada",Whitby,Ontario,Canada,,43.88342,-78.93287,road gravel mtb
st-catharines-ontario-ca-6155721,"St. Catharines, Ontario, Canada",St. Catharines,Ontario,Canada,,43.17126,-79.24267,road gravel mtb
milton-ontario-ca-6074377,"Milton, Ontario, Canada",Milton,Ontario,Canada,,43.51681,-79.88294,road gravel mtb
kingston-ontario-ca-5992500,"Kingston, Ontario, Canada",Kingston,Ontario,Canada,,44.22976,-76.48098,road gravel mtb
cambridge-ontario-ca-5913695,"Cambridge, Ontario, Canada",Cambridge,Ontario,Canada,,43.3601,-80.31269,road gravel mtb
orleans-ontario-ca-8556295,"Orleans, Ontario, Canada",Orleans,Ontario,Canada,,45.45732,-75.50433,road gravel mtb
ottawa-south-ontario-ca-6094835,"Ottawa South, Ontario, Canada",Ottawa South,Ontario,Canada,,45.3921,-75.68725,road gravel mtb
ajax-ontario-ca-5882873,"Ajax, Ontario, Canada",Ajax,Ontario,Canada,,43.85012,-79.03288,road gravel mtb
thunder-bay-ontario-ca-6166142,"Thunder Bay, Ontario, Canada",Thunder Bay,Ontario,Canada,,48.38202,-89.25018,road gravel mtb
waterloo-ontario-ca-6176823,"Waterloo, Ontario, Canada",Waterloo,Ontario,Canada,,43.4668,-80.51639,road gravel mtb
brantford-ontario-ca-5907990,"Brantford, Ontario, Canada",Brantford,Ontario,Canada,,43.1334,-80.26636,road gravel mtb
niagara-falls-ontario-ca-6087892,"Niagara Falls, Ontario, Canada",Niagara Falls,Ontario,Canada,,43.10012,-79.06627,road gravel mtb
pickering-ontario-ca-6104111,"Pickering, Ontario, Canada",Pickering,Ontario,Canada,,43.90012,-79.13289,road gravel mtb
newmarket-ontario-ca-6087701,"Newmarket, Ontario, Canada",Newmarket,Ontario,Canada,,44.05011,-79.46631,road gravel mtb
kanata-ontario-ca-5989117,"Kanata, Ontario, Canada",Kanata,Ontario,Canada,,45.3001,-75.91606,road gravel mtb
peterborough-ontario-ca-6101645,"Peterborough, Ontario, Canada",Peterborough,Ontario,Canada,,44.30012,-78.31623,road gravel mtb
caledon-ontario-ca-5913414,"Caledon, Ontario, Canada",Caledon,Ontario,Canada,,43.86544,-79.99322,road gravel mtb
stoney-creek-ontario-ca-6157390,"Stoney Creek, Ontario, Canada",Stoney Creek,Ontario,Canada,,43.21681,-79.76633,road gravel mtb
sarnia-ontario-ca-6141190,"Sarnia, Ontario, Canada",Sarnia,Ontario,Canada,,42.97866,-82.40407,road gravel mtb
sault-ste-marie-ontario-ca-6141439,"Sault Ste. Marie, Ontario, Canada",Sault Ste. Marie,Ontario,Canada,,46.51677,-84.33325,road gravel mtb
halton-hills-ontario-ca-5969721,"Halton Hills, Ontario, Canada",Halton Hills,Ontario,Canada,,43.6403,-79.93146,road gravel mtb
norfolk-county-ontario-ca-6089125,"Norfolk County, Ontario, Canada",Norfolk County,Ontario,Canada,,42.8334,-80.38297,road gravel mtb
aurora-ontario-ca-5888377,"Aurora, Ontario, Canada",Aurora,Ontario,Canada,,44.00011,-79.46632,road gravel mtb
welland-ontario-ca-6177869,"Welland, Ontario, Canada",Welland,Ontario,Canada,,42.98342,-79.24958,road gravel mtb
belleville-ontario-ca-5897884,"Belleville, Ontario, Canada",Belleville,Ontario,Canada,,44.16682,-77.38277,road gravel mtb
north-bay-ontario-ca-6089426,"North Bay, Ontario, Canada",North Bay,Ontario,Canada,,46.3168,-79.46633,road gravel mtb
whitchurch-stouffville-ontario-ca-6180176,"Whitchurch-Stouffville, Ontario, Canada",Whitchurch-Stouffville,Ontario,Canada,,44.00012,-79.3163,road gravel mtb
cornwall-ontario-ca-5928065,"Cornwall, Ontario, Canada",Cornwall,Ontario,Canada,,45.01809,-74.72815,road gravel mtb
georgetown-ontario-ca-5960533,"Georgetown, Ontario, Canada",Georgetown,Ontario,Canada,,43.65011,-79.91634,road gravel mtb
quinte-west-ontario-ca-6115355,"Quinte West, Ontario, Canada",Quinte West,Ontario,Canada,,44.18342,-77.56618,road gravel mtb
chatham-ontario-ca-5920457,"Chatham, Ontario, Canada",Chatham,Ontario,Canada,,42.41224,-82.18494,road gravel mtb
